,title,image_id,medium_display
0,Camp Parks: Entrance Gate,,Variable
1,"Sydney H. and Geri Rodin House, Libertyville, Illinois: Exterior Perspective Showing South Elevation",665f91be-332a-e89f-778f-338adb2c7bc6,Colored pencil on faded Diazo lineprint on paper
2,"Patti Adams Shriner House and Studio, Riverside Studio, Tulsa, Oklahoma, Design Drawings",,Various
3,"John Garvey House Number 1, Urbana, Illinois: Plan Study (Recto)",,"Graphite on printed graph paper (recto)
Graphite on paper (verso)"
4,Composition with Circle and Needle Design,e0407e20-d4b5-83bb-eb0e-5b44ccb77f45,Ink and gouache on black construction paper
5,Gene and Nancy Bavinger House: Interior View Showing Stairs and Suspended Child's Spaces,2970319a-3255-2c68-ca78-a26f86a1669b,Graphite and colored pencil on paper
6,Gene and Nancy Bavinger House: Plan of Lower Level Showing Water Garden,9039414c-8eec-1ca4-388b-f057c1b2d097,Graphite and colored pencil on tracing paper
7,"House Study, Plan and Elevation",d00b340b-4777-cbc6-8716-611227ff4406,Black and colored ink on drawing board
8,"House Study, Aerial Perspective",8350cc45-d0be-8977-b8f5-15da5c3ca10d,Graphite and colored pencil on yellow tracing paper
9,"""A Modern Home of the Midwest Type,"" Perspective and Plans",509ca203-7a17-5d15-7f54-6ca9a4711b23,Ink on paper
10,"House Studies 1919-1920, Design Drawings",e7386ffd-cd2f-6aa2-3daa-a2d2d0f26ba1,Various
11,"Shriner, Patti Adams, House and Studio, number 2, Tulsa, OK: Presentation Plan: ""Patti Adams School of Music, Studio & Home""",,Ink and graphite on white tracing paper
12,"Patti Adams Shriner, House and Studio, Number 2",a1d3f1eb-7dd6-5be8-e92a-b3f9eb6335b2,Various
13,"Hopewell Baptist Church, Edmond, Oklahoma, Exterior Perspective",759f967f-a870-0d93-a6eb-c6e6522322b1,Colored pencil on lineprint on paper
14,"W.C. III and E.A. Gryder House, Ocean Springs, Mississippi, Perspective",10bca3fb-b4c2-ea9c-9541-16ba1845fcc7,Graphite on white tracing paper
15,"John Garvey House Number 1, Urbana, Illinois: Cross Section Showing Spherical Rooms Linked by Tubular Passage in the Form of a Spiral",c159efec-2f5f-f176-e790-87fd33988681,Graphite on white tracing paper
16,"John Garvey House Number 1, Urbana, Illinois: Upper Level and Roof Plan",e211eed2-187a-90fa-4f7c-952cd051039f,Graphite on white tracing paper
17,"John Garvey House Number 1, Urbana, Illinios: Exterior Perspective Showing Suspended Entrance Canopy",3faaeae0-2f23-3859-6319-04e7d2722d2e,Graphite on white tracing paper
18,"John Garvey House Number 1, Urbana, Illinois: Aerial Perspective",4833ff1d-edb4-c1c2-8aab-374998eaaa68,Graphite on white tracing paper
19,"Joe Price Studio, Bartlesville, Oklahoma, Exterior Perspective",6fb96769-f5bf-310a-0ec0-c13d4b0eba04,Graphite and colored pencil on tracing paper
20,"Ignacio Perez House, Caracas, Venezuela, Aerial Perspective",28984b7b-f83f-e6b6-7555-8370a6df9ff0,Ink on tracing paper
21,"Ignacio Perez House, Caracas, Venezuela, Elevation",b71edccb-3274-b275-c108-4bbb51fa3ce6,Graphite on tracing paper
22,"Camp Parks: Chapel and Library, Number 2: Aerial Perspective View",0eba8f90-b58b-dc9c-5a3b-2d74f1020f47,Blueline print on paper
23,"Crystal Chapel, Norman, Oklahoma, Interior Perspective",5f2261d9-7940-8037-51c2-7b77dc927e07,Graphite and colored pencil on tracing paper
24,"Mr. and Mrs. Andrew Kozak House, Sleepy Hollow, California, Elevations",2de62f13-ccd6-1038-c73f-6ff171084bd5,Graphite on white tracing paper
25,"Mr. and Mrs. Andrew Kozak House, Sleepy Hollow, California, Elevation",4b2077f7-b1de-5236-c5cb-4029ebb5bb6d,Graphite on white tracing paper
26,"Mr. and Mrs. Andrew Kozak House, Sleepy Hollow, California, Floor Plan",fccf581d-9a6a-a62a-113b-c8b5ebbc61e6,Graphite on white tracing paper
27,"Ruth and Sam Ford House, Aurora, Illinois, Exterior Perspective",60c9154e-c78d-a1f4-bb14-c318e5120463,Graphite on tracing paper with ink wash or watercolor added
28,"Telemovie Building, Batlesville, Oklahoma, Presentation Drawing",8d4ece37-69fe-9bef-7fe3-553575e4cc95,Graphite on tracing paper
29,"Robert G. and Virginia Allen House, Bartlesville, Oklahoma, Elevations",62f2ecd4-a2d0-c598-53a1-f3638e0acbd1,Graphite on tracing paper
30,"Robert G. and Virginia Allen House, Bartlesville, Oklahoma, Plan",71abc191-5200-4341-7ab4-e8b2e9ea7bf4,Graphite on tracing paper
31,"Viva Casino and Hotel, Las Vegas, Nevada, Perspective Rendering",c1a28d30-4606-be61-b5f8-7cd2af7f3db2,Graphite on tracing paper
32,Gene and Nancy Bavinger House: South Elevation Showing Suspension Bridge over Ravine,9f0936f9-7c72-9962-af77-57cbcddcda57,Colored pencil on lineprint on paper
33,Gene and Nancy Bavinger House: East Elevation Showing Entrance,4a4ce932-ce69-4b94-2407-871970d8bf67,Graphite and colored pencil on paper
34,"Family Circle House, Midwest City, Oklahoma, Plan",7980b0e7-1520-e6b2-a3d0-b0bd7abd8e68,Colored pencil on lineprint on paper
35,"John and Grace Lee Frank House, Elevations",,Graphite on white tracing paper
36,"Bruce Goff Studio, Berkeley, California, Sections",edc0957b-8b42-a256-7674-33c5930cde23,Graphite on tracing paper
37,"Bruce Goff Studio, Berkeley, California, Upper Level Plan",550a94a1-df4d-0470-bab1-81bd87ff2fa8,Graphite on tracing paper
38,"Bruce Goff Studio, Berkeley, California, Lower Level Plan",12d0ce29-66c4-dd0c-3b32-2e1af7ccc955,Graphite on tracing paper
39,Composition,80089987-9768-a6f6-45e9-d7bdeda8da49,Tempera on drawing paper mounted on board
40,Composition,aa880d3f-f60d-a08e-e74f-f9d4393576c2,"Mixed media on paper, mounted on board"
41,Composition,cb22c7d2-00f5-52d8-5cbb-630303dd1c60,"Graphite, watercolor, tempera, ink, and silver paint on Japanese paper"
42,Composition,0084d2f8-1de2-ca2f-a9bf-15f6e89ae992,Tempera on paper mounted on board
43,"Irma Bartman House, Design #1, ""Hickory Hill House""",77ac2395-f2d9-a2ac-5f34-5a173f2775e2,Various
44,Sullivaniana Collection,342b2214-04d5-de63-b577-55a08a618960,"Printed papers, correspondence, manuscripts, black and white photographic prints, and realia."
45,Sullivan/Van Allen Building Collection,342b2214-04d5-de63-b577-55a08a618960,"Printed papers, typed correspondence, black and white photographic prints, and glass negatives."
46,Carson Pirie Scott Collection,342b2214-04d5-de63-b577-55a08a618960,"Typescript papers, correspondence, printed papers, photocopies, drawings, scrapbooks, black and white photographs and black and white negatives."
47,"Merchants National Bank, Grinnell, Iowa, Elevations",3873aa6e-88bf-447e-6083-4a3dea0f8e7e,Blueline print
48,"First National Bank, Manistique, Michigan, Plan",fbffeb77-6124-3757-6331-c5eb9b10511a,Graphite on paper
49,"Saint Paul's Methodist Episcopal Church, Cedar Rapids, Iowa, Detail",885ac75d-11b8-17b6-48c1-24b2ac051e5f,Black and red ink on draughting linen
50,"Saint Paul's Methodist Episcopal Church, Cedar Rapids, Iowa, Main Floor Plan",86b77906-d40c-6520-50e5-0e642cc00fcc,Black and red ink on draughting linen
51,"Saint Paul's Methodist Episcopal Church, Cedar Rapids, Iowa, Section",91cbca4f-b220-8a40-b619-3a4b1b48e94b,Black and red ink on draughting linen
52,"Saint Paul's Methodist Episcopal Church, Cedar Rapids, Iowa, Elevation",7baeec08-4b61-7561-a41b-a3ed345fbbba,Black and red ink on draughting linen
53,"First National Bank, Manistique, Michigan, Children's Nook",1a446a0f-d9c8-6601-db4e-9ce30b3e61e0,Blueprint on paper
54,"Schlesinger and Mayer Company Store, Chicago, Illinois, Baluster",3a4e88c0-5975-6393-f6c5-e8f21751fe12,Copper plated iron
55,"Schlesinger and Mayer Company Store, Chicago, Illinois, Baluster",f60d41f1-da2a-c1d4-4914-09f6487b8e4f,Copper plated iron
56,"Schlesinger and Mayer Company Store, Chicago, Illinois, Baluster",ebb35b49-d961-78c6-7360-5565803878bc,Copper plated iron
57,The Orders of Architecture: Student drawings after a French edition of Vignola,59b9e27e-2a91-b74f-3b2d-7f6060af5819,Various
